jgw_id,char,unicode,pua,otf_wh,jgw_wh,log_wh_diff,status_wh
386,胶,80F6,U+E489,0.62,0.41,0.17960783277851838,OK_LOOSE
387,角,89D2,U+E14F,0.63,0.5,0.10037054511756291,OK
388,烄,70C4,U+E2E0,0.49,0.5,0.00877392430750515,OK
389,教,6559,U+E0F9,0.52,0.44,0.07255066714861175,OK
390,卩,5369,U+E298,0.42,0.52,0.09275405323689875,OK
391,解,89E3,U+E150,0.5,0.57,0.056904851336472564,OK
392,介,4ECB,U+E03E,0.41,0.61,0.17254597829103155,OK_LOOSE
393,戒,6212,U+E0B0,0.76,0.47,0.20871573434507393,OK_LOOSE
394,巾,5DFE,U+E245,0.53,0.5,0.02530586526477026,OK
395,今,4ECA,U+E18D,0.75,0.34,0.34358234634944484,WARN
396,斤,65A4,U+E3E3,0.44,0.56,0.104735350520013,OK
397,紟,7D1F,U+E3B5,0.82,0.48,0.23257261500812945,OK_LOOSE
398,堇,5807,U+E3D1,0.47,0.35,0.12802981358544185,OK
399,盡,76E1,U+E178,0.56,0.77,0.13830269816628143,OK
400,近zhi,,,,,,SEVERE
401,晉,6649,U+E1F2,0.54,0.71,0.11886458889610672,OK
402,進,9032,U+E07B,0.5,0.36,0.14266750356873154,OK
403,寖,5BD6,U+E311,0.58,0.83,0.1556500988131366,OK_LOOSE
404,京,.4EA,,,,,SEVERE
405,晶,6676,U+E202,0.97,0.54,0.2543779744432763,OK_LOOSE
406,兢jing,,,,,,SEVERE
407,精xing,,,,,,SEVERE
408,井,4E95,U+E181,0.6,0.54,0.04575749056067506,OK
409,妌,598C,U+E37B,0.68,0.61,0.047179077695469335,OK
410,倞,501E,U+E251,0.42,0.95,0.35447431489094733,WARN
411,竟,7ADF,U+E0A6,0.4,0.57,0.15381486434452896,OK_LOOSE
412,競,7AF6,U+E0A5,0.72,0.65,0.044419139788412824,OK
